direction,entry_type,exit_type,entry_dt,entry_px,exit_dt,exit_px,pnl
LONG,BUY_A,OPP_SIGNAL,2025-01-12 12:00:00+00:00,94573,2025-01-13 06:00:00+00:00,93973,-75.4273
SHORT,SELL_A,OPP_SIGNAL,2025-01-13 06:00:00+00:00,93973,2025-01-14 08:00:00+00:00,95173,-135.45729999999998
LONG,BUY_B,OPP_SIGNAL,2025-01-14 08:00:00+00:00,95173,2025-01-14 20:00:00+00:00,96573,124.41270000000002
SHORT,SELL_A,OPP_SIGNAL,2025-01-14 20:00:00+00:00,96573,2025-01-18 22:00:00+00:00,104173,-776.0373000000001
LONG,BUY_A,OPP_SIGNAL,2025-01-18 22:00:00+00:00,104173,2025-01-19 20:00:00+00:00,105173,83.53269999999999
SHORT,SELL_A,OPP_SIGNAL,2025-01-19 20:00:00+00:00,105173,2025-01-20 06:00:00+00:00,106373,-136.57729999999998
LONG,BUY_B,OPP_SIGNAL,2025-01-20 06:00:00+00:00,106373,2025-01-21 22:00:00+00:00,106373,-16.637300000000003
SHORT,SELL_A,OPP_SIGNAL,2025-01-21 22:00:00+00:00,106373,2025-01-23 12:00:00+00:00,102373,383.5627
LONG,BUY_A,OPP_SIGNAL,2025-01-23 12:00:00+00:00,102373,2025-01-26 20:00:00+00:00,104573,203.65270000000004
SHORT,SELL_A,OPP_SIGNAL,2025-01-26 20:00:00+00:00,104573,2025-01-29 18:00:00+00:00,102973,143.6227
LONG,BUY_B,OPP_SIGNAL,2025-01-29 18:00:00+00:00,102973,2025-01-31 02:00:00+00:00,104373,123.6327
SHORT,SELL_A,OPP_SIGNAL,2025-01-31 02:00:00+00:00,104373,2025-02-02 04:00:00+00:00,99773,443.7927
LONG,BUY_A,OPP_SIGNAL,2025-02-02 04:00:00+00:00,99773,2025-02-05 16:00:00+00:00,97773,-215.87730000000002
SHORT,SELL_A,OPP_SIGNAL,2025-02-05 16:00:00+00:00,97773,2025-02-07 08:00:00+00:00,97173,44.252700000000004
LONG,BUY_A,OPP_SIGNAL,2025-02-07 08:00:00+00:00,97173,2025-02-07 16:00:00+00:00,97573,24.2627
SHORT,SELL_A,OPP_SIGNAL,2025-02-07 16:00:00+00:00,97573,2025-02-08 16:00:00+00:00,96173,124.3127
LONG,BUY_A,OPP_SIGNAL,2025-02-08 16:00:00+00:00,96173,2025-02-11 02:00:00+00:00,97573,124.3127
SHORT,SELL_A,OPP_SIGNAL,2025-02-11 02:00:00+00:00,97573,2025-02-12 00:00:00+00:00,95973,144.3227
LONG,BUY_A,OPP_SIGNAL,2025-02-12 00:00:00+00:00,95973,2025-02-12 02:00:00+00:00,95973,-15.5973
SHORT,SELL_A,OPP_SIGNAL,2025-02-12 02:00:00+00:00,95973,2025-02-12 16:00:00+00:00,95773,4.4127
LONG,BUY_A,OPP_SIGNAL,2025-02-12 16:00:00+00:00,95773,2025-02-18 04:00:00+00:00,95773,-15.577300000000001
SHORT,SELL_A,OPP_SIGNAL,2025-02-18 04:00:00+00:00,95773,2025-02-23 06:00:00+00:00,96373,-75.60730000000001
LONG,BUY_A,OPP_SIGNAL,2025-02-23 06:00:00+00:00,96373,2025-02-24 02:00:00+00:00,95573,-95.5973
SHORT,SELL_A,OPP_SIGNAL,2025-02-24 02:00:00+00:00,95573,2025-02-25 10:00:00+00:00,88973,644.7727
LONG,BUY_A,OPP_SIGNAL,2025-02-25 10:00:00+00:00,88973,2025-02-26 18:00:00+00:00,85373,-374.71729999999997
SHORT,SELL_B,OPP_SIGNAL,2025-02-26 18:00:00+00:00,85373,2025-02-28 08:00:00+00:00,80173,505.72270000000003
LONG,BUY_A,OPP_SIGNAL,2025-02-28 08:00:00+00:00,80173,2025-03-01 10:00:00+00:00,84973,465.7427
SHORT,SELL_A,OPP_SIGNAL,2025-03-01 10:00:00+00:00,84973,2025-03-01 18:00:00+00:00,85173,-34.5073
LONG,BUY_A,OPP_SIGNAL,2025-03-01 18:00:00+00:00,85173,2025-03-03 00:00:00+00:00,93973,865.0427000000001
SHORT,SELL_A,OPP_SIGNAL,2025-03-03 00:00:00+00:00,93973,2025-03-03 10:00:00+00:00,92373,144.6827
LONG,BUY_A,OPP_SIGNAL,2025-03-03 10:00:00+00:00,92373,2025-03-03 18:00:00+00:00,88773,-375.0573
SHORT,SELL_B,OPP_SIGNAL,2025-03-03 18:00:00+00:00,88773,2025-03-04 08:00:00+00:00,83573,505.3827
LONG,BUY_A,OPP_SIGNAL,2025-03-04 08:00:00+00:00,83573,2025-03-05 14:00:00+00:00,88973,525.3727
SHORT,SELL_A,OPP_SIGNAL,2025-03-05 14:00:00+00:00,88973,2025-03-06 14:00:00+00:00,89973,-114.9473
LONG,BUY_A,OPP_SIGNAL,2025-03-06 14:00:00+00:00,89973,2025-03-08 12:00:00+00:00,86173,-394.8073
SHORT,SELL_B,OPP_SIGNAL,2025-03-08 12:00:00+00:00,86173,2025-03-11 00:00:00+00:00,78773,725.7527
LONG,BUY_A,OPP_SIGNAL,2025-03-11 00:00:00+00:00,78773,2025-03-12 02:00:00+00:00,82573,365.9327
SHORT,SELL_A,OPP_SIGNAL,2025-03-12 02:00:00+00:00,82573,2025-03-12 18:00:00+00:00,82573,-14.2573
LONG,BUY_A,OPP_SIGNAL,2025-03-12 18:00:00+00:00,82573,2025-03-15 06:00:00+00:00,84173,145.6627
SHORT,SELL_A,OPP_SIGNAL,2025-03-15 06:00:00+00:00,84173,2025-03-19 14:00:00+00:00,84573,-54.4373
LONG,BUY_B,OPP_SIGNAL,2025-03-19 14:00:00+00:00,84573,2025-03-21 06:00:00+00:00,84173,-54.4373
SHORT,SELL_A,OPP_SIGNAL,2025-03-21 06:00:00+00:00,84173,2025-03-21 16:00:00+00:00,83773,25.602700000000002
LONG,BUY_A,OPP_SIGNAL,2025-03-21 16:00:00+00:00,83773,2025-03-24 22:00:00+00:00,87573,365.4327
SHORT,SELL_A,OPP_SIGNAL,2025-03-24 22:00:00+00:00,87573,2025-03-26 06:00:00+00:00,87773,-34.7673
LONG,BUY_A,OPP_SIGNAL,2025-03-26 06:00:00+00:00,87773,2025-04-02 02:00:00+00:00,84773,-314.6273
SHORT,SELL_A,OPP_SIGNAL,2025-04-02 02:00:00+00:00,84773,2025-04-03 20:00:00+00:00,82373,225.6427
LONG,BUY_A,OPP_SIGNAL,2025-04-03 20:00:00+00:00,82373,2025-04-04 10:00:00+00:00,83773,125.6927
SHORT,SELL_A,OPP_SIGNAL,2025-04-04 10:00:00+00:00,83773,2025-04-07 08:00:00+00:00,75573,806.0326999999999
LONG,BUY_A,OPP_SIGNAL,2025-04-07 08:00:00+00:00,75573,2025-04-08 06:00:00+00:00,79773,406.23269999999997
SHORT,SELL_A,OPP_SIGNAL,2025-04-08 06:00:00+00:00,79773,2025-04-09 12:00:00+00:00,77173,246.15269999999998
LONG,BUY_A,OPP_SIGNAL,2025-04-09 12:00:00+00:00,77173,2025-04-10 12:00:00+00:00,81773,446.0527000000001
SHORT,SELL_A,OPP_SIGNAL,2025-04-10 12:00:00+00:00,81773,2025-04-11 00:00:00+00:00,79973,165.9127
LONG,BUY_A,OPP_SIGNAL,2025-04-11 00:00:00+00:00,79973,2025-04-13 04:00:00+00:00,84973,485.7527
SHORT,SELL_A,OPP_SIGNAL,2025-04-13 04:00:00+00:00,84973,2025-04-14 00:00:00+00:00,84173,65.5427
LONG,BUY_A,OPP_SIGNAL,2025-04-14 00:00:00+00:00,84173,2025-04-15 14:00:00+00:00,84973,65.5427
SHORT,SELL_A,OPP_SIGNAL,2025-04-15 14:00:00+00:00,84973,2025-04-17 06:00:00+00:00,84373,45.532700000000006
LONG,BUY_A,OPP_SIGNAL,2025-04-17 06:00:00+00:00,84373,2025-04-20 08:00:00+00:00,84573,5.5527
SHORT,SELL_A,OPP_SIGNAL,2025-04-20 08:00:00+00:00,84573,2025-04-22 20:00:00+00:00,91973,-754.8273
LONG,BUY_B,OPP_SIGNAL,2025-04-22 20:00:00+00:00,91973,2025-04-23 10:00:00+00:00,93773,164.7127
SHORT,SELL_A,OPP_SIGNAL,2025-04-23 10:00:00+00:00,93773,2025-04-24 22:00:00+00:00,93573,4.632700000000001
LONG,BUY_A,OPP_SIGNAL,2025-04-24 22:00:00+00:00,93573,2025-04-25 20:00:00+00:00,94973,124.5727
SHORT,SELL_A,OPP_SIGNAL,2025-04-25 20:00:00+00:00,94973,2025-04-28 04:00:00+00:00,93973,84.5527
LONG,BUY_A,OPP_SIGNAL,2025-04-28 04:00:00+00:00,93973,2025-04-29 20:00:00+00:00,94773,64.5627
SHORT,SELL_A,OPP_SIGNAL,2025-04-29 20:00:00+00:00,94773,2025-05-01 08:00:00+00:00,95373,-75.50730000000001
LONG,BUY_B,OPP_SIGNAL,2025-05-01 08:00:00+00:00,95373,2025-05-02 20:00:00+00:00,96773,124.39269999999999
SHORT,SELL_A,OPP_SIGNAL,2025-05-02 20:00:00+00:00,96773,2025-05-05 16:00:00+00:00,94173,244.4527
LONG,BUY_A,OPP_SIGNAL,2025-05-05 16:00:00+00:00,94173,2025-05-07 16:00:00+00:00,96773,244.4527
SHORT,SELL_A,OPP_SIGNAL,2025-05-07 16:00:00+00:00,96773,2025-05-07 20:00:00+00:00,96973,-35.6873
LONG,BUY_A,OPP_SIGNAL,2025-05-07 20:00:00+00:00,96973,2025-05-09 08:00:00+00:00,103373,623.9827
SHORT,SELL_A,OPP_SIGNAL,2025-05-09 08:00:00+00:00,103373,2025-05-13 04:00:00+00:00,102173,103.7227
LONG,BUY_A,OPP_SIGNAL,2025-05-13 04:00:00+00:00,102173,2025-05-16 20:00:00+00:00,103773,143.7027
SHORT,SELL_A,OPP_SIGNAL,2025-05-16 20:00:00+00:00,103773,2025-05-18 04:00:00+00:00,103373,23.6427
LONG,BUY_A,OPP_SIGNAL,2025-05-18 04:00:00+00:00,103373,2025-05-19 02:00:00+00:00,104973,143.5827
SHORT,SELL_A,OPP_SIGNAL,2025-05-19 02:00:00+00:00,104973,2025-05-22 02:00:00+00:00,110373,-556.7673
LONG,BUY_B,OPP_SIGNAL,2025-05-22 02:00:00+00:00,110373,2025-05-22 18:00:00+00:00,111173,62.92269999999999
SHORT,SELL_A,OPP_SIGNAL,2025-05-22 18:00:00+00:00,111173,2025-05-22 22:00:00+00:00,111373,-37.1273
LONG,BUY_A,OPP_SIGNAL,2025-05-22 22:00:00+00:00,111373,2025-05-24 22:00:00+00:00,107773,-376.9573
SHORT,SELL_A,OPP_SIGNAL,2025-05-24 22:00:00+00:00,107773,2025-05-28 20:00:00+00:00,107173,43.252700000000004
LONG,BUY_A,OPP_SIGNAL,2025-05-28 20:00:00+00:00,107173,2025-06-02 10:00:00+00:00,104373,-296.57730000000004
SHORT,SELL_A,OPP_SIGNAL,2025-06-02 10:00:00+00:00,104373,2025-06-05 02:00:00+00:00,104973,-76.4673
LONG,BUY_A,OPP_SIGNAL,2025-06-05 02:00:00+00:00,104973,2025-06-08 22:00:00+00:00,105773,63.462700000000005
SHORT,SELL_A,OPP_SIGNAL,2025-06-08 22:00:00+00:00,105773,2025-06-15 02:00:00+00:00,105373,23.4427
LONG,BUY_A,OPP_SIGNAL,2025-06-15 02:00:00+00:00,105373,2025-06-15 20:00:00+00:00,104973,-56.5173
SHORT,SELL_A,OPP_SIGNAL,2025-06-15 20:00:00+00:00,104973,2025-06-15 22:00:00+00:00,105373,-56.5173
LONG,BUY_A,OPP_SIGNAL,2025-06-15 22:00:00+00:00,105373,2025-06-17 06:00:00+00:00,106973,143.3827
SHORT,SELL_A,OPP_SIGNAL,2025-06-17 06:00:00+00:00,106973,2025-06-18 20:00:00+00:00,104573,223.42270000000002
LONG,BUY_A,OPP_SIGNAL,2025-06-18 20:00:00+00:00,104573,2025-06-19 06:00:00+00:00,104773,3.5326999999999984
SHORT,SELL_A,OPP_SIGNAL,2025-06-19 06:00:00+00:00,104773,2025-06-21 22:00:00+00:00,101973,263.6627
LONG,BUY_A,OPP_SIGNAL,2025-06-21 22:00:00+00:00,101973,2025-06-22 12:00:00+00:00,102173,3.792700000000001
SHORT,SELL_A,OPP_SIGNAL,2025-06-22 12:00:00+00:00,102173,2025-06-22 22:00:00+00:00,99173,283.9327
LONG,BUY_A,OPP_SIGNAL,2025-06-22 22:00:00+00:00,99173,2025-06-23 14:00:00+00:00,101973,263.9427
SHORT,SELL_A,OPP_SIGNAL,2025-06-23 14:00:00+00:00,101973,2025-07-02 14:00:00+00:00,108573,-676.5273
LONG,BUY_B,OPP_SIGNAL,2025-07-02 14:00:00+00:00,108573,2025-07-03 10:00:00+00:00,109573,83.0927
SHORT,SELL_A,OPP_SIGNAL,2025-07-03 10:00:00+00:00,109573,2025-07-06 12:00:00+00:00,108373,103.1027
LONG,BUY_A,OPP_SIGNAL,2025-07-06 12:00:00+00:00,108373,2025-07-07 16:00:00+00:00,107973,-56.8173
SHORT,SELL_B,OPP_SIGNAL,2025-07-07 16:00:00+00:00,107973,2025-07-09 10:00:00+00:00,108773,-96.8373
LONG,BUY_A,OPP_SIGNAL,2025-07-09 10:00:00+00:00,108773,2025-07-11 06:00:00+00:00,117573,862.6827000000001
SHORT,SELL_A,OPP_SIGNAL,2025-07-11 06:00:00+00:00,117573,2025-07-14 04:00:00+00:00,122373,-497.9973
LONG,BUY_B,OPP_SIGNAL,2025-07-14 04:00:00+00:00,122373,2025-07-16 22:00:00+00:00,118973,-358.0673
SHORT,SELL_A,OPP_SIGNAL,2025-07-16 22:00:00+00:00,118973,2025-07-17 14:00:00+00:00,118373,42.1327
LONG,BUY_A,OPP_SIGNAL,2025-07-17 14:00:00+00:00,118373,2025-07-18 06:00:00+00:00,119973,142.0827
SHORT,SELL_A,OPP_SIGNAL,2025-07-18 06:00:00+00:00,119973,2025-07-20 06:00:00+00:00,117973,182.1027
LONG,BUY_A,OPP_SIGNAL,2025-07-20 06:00:00+00:00,117973,2025-07-20 22:00:00+00:00,117973,-17.7973
SHORT,SELL_A,OPP_SIGNAL,2025-07-20 22:00:00+00:00,117973,2025-07-22 08:00:00+00:00,117973,-17.7973
LONG,BUY_A,OPP_SIGNAL,2025-07-22 08:00:00+00:00,117973,2025-07-23 02:00:00+00:00,119173,102.14269999999999
