datetime,close,high,low,renko_open,renko_close,renko_dir,renko_bull,renko_bear,st_bull,st_bear,st_line,swing_high,swing_low,last_swing_high,last_swing_low,bo_buy,bo_sell,rev_buy,rev_sell,buy_signal,sell_signal
2024-09-11 04:00:00+00:00,56245.5,56800.0,56081.5,56600.0,56400.0,-1,False,True,True,False,55188.65932338862,,,59600.0,53800.0,False,False,False,False,False,False
2024-09-11 06:00:00+00:00,56694.0,56765.0,56167.0,56600.0,56400.0,-1,False,True,True,False,55188.65932338862,,,59600.0,53800.0,False,False,False,False,False,False
2024-09-11 08:00:00+00:00,56672.0,56729.5,56347.5,56600.0,56400.0,-1,False,True,True,False,55188.65932338862,,,59600.0,53800.0,False,False,False,False,False,False
2024-09-11 10:00:00+00:00,56791.5,56863.5,56341.5,56600.0,56400.0,-1,False,True,True,False,55188.65932338862,,,59600.0,53800.0,False,False,False,False,False,False
2024-09-11 12:00:00+00:00,55746.0,57153.5,55700.0,56000.0,55800.0,-1,False,True,True,False,55188.65932338862,,,59600.0,53800.0,False,False,False,False,False,False
2024-09-11 14:00:00+00:00,56699.5,57010.5,55555.0,56400.0,56600.0,1,True,False,True,False,55188.65932338862,,,59600.0,53800.0,False,False,False,False,False,False
2024-09-11 16:00:00+00:00,57684.5,57862.0,56640.5,57400.0,57600.0,1,True,False,True,False,55188.65932338862,,55800.0,59600.0,55800.0,False,False,False,False,False,False
2024-09-11 18:00:00+00:00,57590.0,57974.5,57306.5,57400.0,57600.0,1,True,False,True,False,55188.65932338862,,,59600.0,55800.0,False,False,False,False,False,False
2024-09-11 20:00:00+00:00,57353.5,57670.0,57239.5,57400.0,57600.0,1,True,False,True,False,55188.65932338862,,,59600.0,55800.0,False,False,False,False,False,False
2024-09-11 22:00:00+00:00,57319.5,57502.0,57211.0,57400.0,57600.0,1,True,False,True,False,55188.65932338862,,,59600.0,55800.0,False,False,False,False,False,False
2024-09-12 00:00:00+00:00,58047.5,58047.5,57315.0,57800.0,58000.0,1,True,False,True,False,55188.65932338862,,,59600.0,55800.0,False,False,False,False,False,False
2024-09-12 02:00:00+00:00,58218.0,58479.0,57824.0,58000.0,58200.0,1,True,False,True,False,55350.18715557101,,,59600.0,55800.0,False,False,False,False,False,False
2024-09-12 04:00:00+00:00,57972.0,58417.0,57921.0,58000.0,58200.0,1,True,False,True,False,55531.14972445681,,,59600.0,55800.0,False,False,False,False,False,False
2024-09-12 06:00:00+00:00,58126.5,58152.5,57841.5,58000.0,58200.0,1,True,False,True,False,55637.91977956545,,,59600.0,55800.0,False,False,False,False,False,False
2024-09-12 08:00:00+00:00,58015.0,58341.5,57985.0,58000.0,58200.0,1,True,False,True,False,55990.78582365236,,,59600.0,55800.0,False,False,False,False,False,False
2024-09-12 10:00:00+00:00,58058.0,58151.5,57890.0,58000.0,58200.0,1,True,False,True,False,56073.578658921884,,,59600.0,55800.0,False,False,False,False,False,False
2024-09-12 12:00:00+00:00,57619.5,58166.0,57331.0,58000.0,58200.0,1,True,False,True,False,56073.578658921884,,,59600.0,55800.0,False,False,False,False,False,False
