trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_value,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,slippage_applied,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
11,BUY,ST_FLIP_RED,2025-07-11T18:00:00,2025-07-14T10:00:00,long,117998,121598,11799.8,360,349.89,29390.76,0.35,3600,3.05,0,0,928.79,78018.36,0.93,1179.98,0.1,10,5,0.01,0,0,10.11,117598
12,SELL,ST_FLIP_GREEN,2025-07-14T10:00:00,2025-07-15T12:00:00,short,121598,117798,12159.8,380,369.89,31070.76,0.37,3800,3.13,0,0,1298.68,109089.12,1.3,1215.98,0.1,10,5,0.01,0,0,10.11,121998
13,BUY,ST_FLIP_RED,2025-07-15T12:00:00,2025-07-15T14:00:00,long,117798,117198,11779.8,-60,-70.11,-5889.24,-0.07,0,0,600,0.51,1228.57,103199.88,1.23,1177.98,0.1,10,5,0.01,0,0,10.11,117398
14,SELL,ST_FLIP_GREEN,2025-07-15T14:00:00,2025-07-15T16:00:00,short,117198,117398,11719.8,-20,-30.11,-2529.24,-0.03,0,0,200,0.17,1198.46,100670.64,1.2,1171.98,0.1,10,5,0.01,0,0,10.11,117598
15,BUY,ST_FLIP_RED,2025-07-15T16:00:00,2025-07-15T18:00:00,long,117398,116598,11739.8,-80,-90.11,-7569.24,-0.09,0,0,800,0.68,1108.35,93101.4,1.11,1173.98,0.1,10,5,0.01,0,0,10.11,116998
16,SELL,ST_FLIP_GREEN,2025-07-15T18:00:00,2025-07-15T20:00:00,short,116598,117398,11659.8,-80,-90.11,-7569.24,-0.09,0,0,800,0.69,1018.24,85532.16,1.02,1165.98,0.1,10,5,0.01,0,0,10.11,116998
17,BUY,ST_FLIP_RED,2025-07-15T20:00:00,2025-07-17T00:00:00,long,117398,118198,11739.8,80,69.89,5870.76,0.07,800,0.68,0,0,1088.13,91402.92,1.09,1173.98,0.1,10,5,0.01,0,0,10.11,116998
18,SELL,ST_FLIP_GREEN,2025-07-17T00:00:00,2025-07-17T16:00:00,short,118198,118998,11819.8,-80,-90.11,-7569.24,-0.09,0,0,800,0.68,998.02,83833.68,1,1181.98,0.1,10,5,0.01,0,0,10.11,118598
19,SELL,ST_FLIP_GREEN,2025-07-17T22:00:00,2025-07-18T00:00:00,short,119198,119998,11919.8,-80,-90.11,-7569.24,-0.09,0,0,800,0.67,907.91,76264.44,0.91,1191.98,0.1,10,5,0.01,0,0,10.11,119598
20,BUY,ST_FLIP_RED,2025-07-18T00:00:00,2025-07-18T06:00:00,long,119998,119598,11999.8,-40,-50.11,-4209.24,-0.05,0,0,400,0.33,857.8,72055.2,0.86,1199.98,0.1,10,5,0.01,0,0,10.11,119598
21,SELL,ST_FLIP_GREEN,2025-07-18T06:00:00,2025-07-20T14:00:00,short,119598,118398,11959.8,120,109.89,9230.76,0.11,1200,1,0,0,967.69,81285.96,0.97,1195.98,0.1,10,5,0.01,0,0,10.11,119998
22,BUY,ST_FLIP_RED,2025-07-20T14:00:00,2025-07-20T22:00:00,long,118398,117398,11839.8,-100,-110.11,-9249.24,-0.11,0,0,1000,0.84,857.58,72036.72,0.86,1183.98,0.1,10,5,0.01,0,0,10.11,117998
23,SELL,ST_FLIP_GREEN,2025-07-21T10:00:00,2025-07-22T06:00:00,short,118198,117798,11819.8,40,29.89,2510.76,0.03,400,0.34,0,0,887.47,74547.48,0.89,1181.98,0.1,10,5,0.01,0,0,10.11,118598
24,BUY,ST_FLIP_RED,2025-07-22T06:00:00,2025-07-22T12:00:00,long,117798,117998,11779.8,20,9.89,830.76,0.01,200,0.17,0,0,897.36,75378.24,0.9,1177.98,0.1,10,5,0.01,0,0,10.11,117398
25,SELL,ST_FLIP_GREEN,2025-07-22T12:00:00,2025-07-22T16:00:00,short,117998,119198,11799.8,-120,-130.11,-10929.24,-0.13,0,0,1200,1.02,767.25,64449,0.77,1179.98,0.1,10,5,0.01,0,0,10.11,118398
26,BUY,ST_FLIP_RED,2025-07-22T16:00:00,2025-07-23T02:00:00,long,119198,118998,11919.8,-20,-30.11,-2529.24,-0.03,0,0,200,0.17,737.14,61919.76,0.74,1191.98,0.1,10,5,0.01,0,0,10.11,118798
27,SELL,ST_FLIP_GREEN,2025-07-23T02:00:00,2025-07-23T14:00:00,short,118998,118398,11899.8,60,49.89,4190.76,0.05,600,0.5,0,0,787.03,66110.52,0.79,1189.98,0.1,10,5,0.01,0,0,10.11,119398
28,BUY,ST_FLIP_RED,2025-07-23T14:00:00,2025-07-24T04:00:00,long,118398,117798,11839.8,-60,-70.11,-5889.24,-0.07,0,0,600,0.51,716.92,60221.28,0.72,1183.98,0.1,10,5,0.01,0,0,10.11,117998
29,BUY,ST_FLIP_RED,2025-07-24T14:00:00,2025-07-25T00:00:00,long,118598,117998,11859.8,-60,-70.11,-5889.24,-0.07,0,0,600,0.51,646.81,54332.04,0.65,1185.98,0.1,10,5,0.01,0,0,10.11,118198
30,SELL,ST_FLIP_GREEN,2025-07-25T00:00:00,2025-07-25T10:00:00,short,117998,116398,11799.8,160,149.89,12590.76,0.15,1600,1.36,0,0,796.7,66922.8,0.8,1179.98,0.1,10,5,0.01,0,0,10.11,118398
31,BUY,ST_FLIP_RED,2025-07-25T10:00:00,2025-07-28T14:00:00,long,116398,118398,11639.8,200,189.89,15950.76,0.19,2000,1.72,0,0,986.59,82873.56,0.99,1163.98,0.1,10,5,0.01,0,0,10.11,115998
32,SELL,ST_FLIP_GREEN,2025-07-28T14:00:00,2025-07-29T02:00:00,short,118398,118798,11839.8,-40,-50.11,-4209.24,-0.05,0,0,400,0.34,936.48,78664.32,0.94,1183.98,0.1,10,5,0.01,0,0,10.11,118798
33,BUY,ST_FLIP_RED,2025-07-29T02:00:00,2025-07-29T14:00:00,long,118798,117598,11879.8,-120,-130.11,-10929.24,-0.13,0,0,1200,1.01,806.37,67735.08,0.81,1187.98,0.1,10,5,0.01,0,0,10.11,118398
34,SELL,ST_FLIP_GREEN,2025-07-29T14:00:00,2025-07-31T00:00:00,short,117598,117998,11759.8,-40,-50.11,-4209.24,-0.05,0,0,400,0.34,756.26,63525.84,0.76,1175.98,0.1,10,5,0.01,0,0,10.11,117998
