REAL DELTA FILLS-BASED REPORT: 2026-08-21 to 2026-09-26 (UTC)

=== DATE: 2026-08-21 ===

S4 | BT trades: 7 | LIVE trades: 5
| direction | entry BT vs LV (time/price) | exit BT vs LV (time/price) | entry delay | exit delay | net slippage | issue |
| short | NO_BT_SIGNAL vs 23:45/77485.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 23:50/77540.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 23:55/77641.0 | - | - | - | - | UNMATCHED_LV_TRADE |

=== DATE: 2026-08-24 ===

S4 | BT trades: 4 | LIVE trades: 4
| direction | entry BT vs LV (time/price) | exit BT vs LV (time/price) | entry delay | exit delay | net slippage | issue |
|---|---|---|---|---|---|---|
| short | 02:00/77653 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 06:00/77009 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 18:00/78895 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 22:00/78941 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | NO_BT_SIGNAL vs 02:00/76964.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 06:00/77146.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 18:00/78825.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 22:00/78857.0 | - | - | - | - | UNMATCHED_LV_TRADE |

S4V2 | BT trades: 22 | LIVE trades: 121
| direction | entry BT vs LV (time/price) | exit BT vs LV (time/price) | entry delay | exit delay | net slippage | issue |
|---|---|---|---|---|---|---|
| short | 00:30/77607 vs 00:30/77444.0 | 01:00/77515 vs 00:30/77364.0 | 6s | -1741s | $-1.2 | ENTRY_DELAY,EXIT_DELAY |
| long | 01:00/77561 vs 01:00/77684.19 | 01:30/77561 vs 01:01/77600.7 | 18s | -1729s | $-8.35 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 01:30/77515 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 02:30/77055 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 03:30/77285 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 04:30/77147 vs 04:30/77229.0 | 05:00/77101 vs 04:30/77233.0 | 5s | -1741s | $5.0 | EXIT_DELAY |
| short | 05:00/77055 vs 05:00/76896.27 | 05:30/77009 vs 05:01/76852.0 | 17s | -1729s | $-0.17 | ENTRY_DELAY,EXIT_DELAY |
| long | 05:30/77009 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 08:00/77423 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 09:30/77101 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 11:00/77699 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 11:30/77837 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 13:30/78987 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 14:30/78849 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 16:00/79723 vs 16:01/79151.0 | 16:30/79171 vs 16:02/79239.0 | 101s | -1645s | $-64.0 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 16:30/79171 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 17:00/79493 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 18:00/78665 vs 18:00/78773.0 | 19:30/78803 vs 19:30/78826.0 | 6s | 28s | $-8.5 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 20:30/78711 vs 20:30/78675.0 | 21:00/78849 vs 21:00/78921.0 | 5s | 9s | $-10.8 | EXIT_DELAY,SLIPPAGE |
| long | 21:00/78849 vs 21:00/78921.0 | 22:30/78803 vs 22:30/78753.83 | 18s | 8s | $-12.12 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 22:30/78757 vs 22:30/78760.43 | 23:30/78849 vs 23:30/78872.0 | 16s | 4s | $-1.96 | ENTRY_DELAY |
| long | 23:30/78849 vs 23:30/78873.0 | 00:30/78803 vs 00:30/78749.0 | 12s | 6s | $-7.8 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | NO_BT_SIGNAL vs 00:00/77720.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 00:35/77423.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 00:40/77389.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 00:45/77231.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 00:50/77354.97 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 00:55/77480.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 01:00/77668.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 01:05/77667.12 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 01:10/77460.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 01:15/77411.01 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 01:20/77370.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 01:25/77280.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 01:30/77212.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 01:35/77341.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 01:40/77259.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 01:45/77205.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 01:50/77225.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 01:55/77179.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 02:00/76938.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 02:05/77079.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 02:10/77081.63 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 02:15/77389.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 02:20/77493.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 02:25/77475.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 02:30/77437.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 02:35/77503.5 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 02:40/77417.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 02:45/77431.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 02:50/77361.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 02:55/77374.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 03:00/77460.59 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 03:05/77339.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 03:10/77306.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 03:15/77206.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 03:20/77187.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 03:25/77231.52 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 03:30/77126.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 03:35/77110.0 | - | - | - | - | UNMATCHED_LV_TRADE |
