trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
12,RE_ENTRY,DOUBLE_TOP,2025-08-24 19:00:00,2025-08-26 07:00:00,short,112575.0,110256.0,100,0.1,11257.5,100.0,231.9,226.75,19047.42,0.23,2319.0,2.06,0.0,0.0,-1507.47,-126627.17,-1.51,1125.75,0.1,5,0.04,0,0.0,5.14,115562.58
13,RE_ENTRY,DOUBLE_TOP,2025-08-29 08:00:00,2025-08-31 00:00:00,short,109590.0,109351.0,100,0.1,10959.0,100.0,23.9,18.75,1575.0,0.02,239.0,0.22,0.0,0.0,-1488.72,-125052.17,-1.49,1095.9,0.1,5,0.05,0,0.0,5.15,112687.78
14,RE_ENTRY,SL_HIT,2025-09-01 04:00:00,2025-09-01 07:00:00,short,107380.5,109401.5,100,0.1,10738.05,100.0,-202.1,-207.2,-17405.12,-0.21,0.0,0.0,2021.0,1.88,-1695.92,-142457.28,-1.7,1073.81,0.1,5,0.0,0,0.0,5.1,109264.15
15,RE_ENTRY,SL_HIT,2025-09-01 21:00:00,2025-09-01 23:00:00,short,107756.0,109421.5,100,0.1,10775.6,100.0,-166.55,-171.65,-14418.81,-0.17,0.0,0.0,1665.5,1.55,-1867.57,-156876.09,-1.87,1077.56,0.1,5,0.0,0,0.0,5.1,109222.09
16,RE_ENTRY,SL_HIT,2025-09-26 10:00:00,2025-09-26 17:00:00,short,108858.5,109975.5,100,0.1,10885.85,100.0,-111.7,-116.81,-9811.93,-0.12,0.0,0.0,1117.0,1.03,-1984.38,-166688.03,-1.98,1088.59,0.1,5,0.01,0,0.0,5.11,109811.47
17,RE_ENTRY,DOUBLE_TOP,2025-10-11 01:00:00,2025-10-12 09:00:00,short,111072.0,111784.0,100,0.1,11107.2,100.0,-71.2,-76.34,-6412.56,-0.08,0.0,0.0,712.0,0.64,-2060.72,-173100.59,-2.06,1110.72,0.1,5,0.04,0,0.0,5.14,121764.87
18,RE_ENTRY,SL_HIT,2025-10-13 11:00:00,2025-10-13 13:00:00,short,114139.0,115500.0,100,0.1,11413.9,100.0,-136.1,-141.2,-11861.01,-0.14,0.0,0.0,1361.0,1.19,-2201.92,-184961.6,-2.2,1141.39,0.1,5,0.0,0,0.0,5.1,115353.27
19,RE_ENTRY,SL_HIT,2025-10-16 07:00:00,2025-10-16 12:00:00,short,110529.0,111971.5,100,0.1,11052.9,100.0,-144.25,-149.36,-12545.92,-0.15,0.0,0.0,1442.5,1.31,-2351.28,-197507.52,-2.35,1105.29,0.1,5,0.01,0,0.0,5.11,111781.92
20,RE_ENTRY,SL_HIT,2025-10-18 04:00:00,2025-10-18 07:00:00,short,106416.0,107464.0,100,0.1,10641.6,100.0,-104.8,-109.9,-9231.92,-0.11,0.0,0.0,1048.0,0.98,-2461.18,-206739.44,-2.46,1064.16,0.1,5,0.0,0,0.0,5.1,107196.55
21,RE_ENTRY,SL_HIT,2025-10-19 08:00:00,2025-10-19 09:00:00,short,106411.5,108220.0,100,0.1,10641.15,100.0,-180.85,-185.95,-15619.91,-0.19,0.0,0.0,1808.5,1.7,-2647.13,-222359.34,-2.65,1064.12,0.1,5,0.0,0,0.0,5.1,107288.69
22,RE_ENTRY,SL_HIT,2025-10-31 16:00:00,2025-11-02 07:00:00,short,108824.0,110999.5,100,0.1,10882.4,100.0,-217.55,-222.7,-18706.69,-0.22,0.0,0.0,2175.5,2.0,-2869.83,-241066.04,-2.87,1088.24,0.1,5,0.05,0,0.0,5.15,110927.14
23,FIRST_ENTRY,SL_HIT,2025-11-04 02:00:00,2025-11-04 02:00:00,short,106449.5,107203.5,100,0.1,10644.95,100.0,-75.4,-80.5,-6762.0,-0.08,0.0,0.0,754.0,0.71,-2950.33,-247828.04,-2.95,1064.5,0.1,5,0.0,0,0.0,5.1,107162.0
