trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
28,RE_ENTRY,SL_HIT_SUPERTREND,2025-11-19 05:00:00,2025-11-20 00:00:00,short,90424.5,92282.5,1,0,90.42,100.0,-1.86,-6.98,-586.47,-0.01,0.0,0.0,1858.0,2.05,-168.65,-14166.98,-0.17,9.04,0.1,5,0.02,0,0.0,5.12,92769.72
29,RE_ENTRY,DOUBLE_TOP,2025-11-21 02:00:00,2025-11-21 14:00:00,short,85408.5,84808.5,1,0,85.41,100.0,0.6,-4.51,-379.26,-0.0,600.0,0.7,0.0,0.0,-173.17,-14546.24,-0.17,8.54,0.1,5,0.01,0,0.0,5.11,89782.87
30,RE_ENTRY,SL_HIT_SUPERTREND,2025-11-22 04:00:00,2025-11-23 01:00:00,short,84214.5,86137.0,1,0,84.21,100.0,-1.92,-7.05,-592.1,-0.01,0.0,0.0,1922.5,2.28,-180.22,-15138.33,-0.18,8.42,0.1,5,0.03,0,0.0,5.13,86775.41
31,FIRST_ENTRY,SL_HIT_SUPERTREND,2025-11-28 17:00:00,2025-11-28 17:00:00,short,90631.0,91172.5,1,0,90.63,100.0,-0.54,-5.64,-473.89,-0.01,0.0,0.0,541.5,0.6,-185.86,-15612.22,-0.19,9.06,0.1,5,0.0,0,0.0,5.1,85738.68
32,FIRST_ENTRY,SL_HIT_SUPERTREND,2025-12-04 05:00:00,2025-12-04 05:00:00,short,92942.0,93349.5,1,0,92.94,100.0,-0.41,-5.51,-462.63,-0.01,0.0,0.0,407.5,0.44,-191.37,-16074.85,-0.19,9.29,0.1,5,0.0,0,0.0,5.1,85738.68
33,FIRST_ENTRY,SL_HIT_SUPERTREND,2025-12-05 16:00:00,2025-12-05 16:00:00,short,88766.0,90469.0,1,0,88.77,100.0,-1.7,-6.8,-571.45,-0.01,0.0,0.0,1703.0,1.92,-198.17,-16646.3,-0.2,8.88,0.1,5,0.0,0,0.0,5.1,85738.68
34,FIRST_ENTRY,SL_HIT_SUPERTREND,2025-12-07 14:00:00,2025-12-07 14:00:00,short,88199.5,89079.5,1,0,88.2,100.0,-0.88,-5.98,-502.32,-0.01,0.0,0.0,880.0,1.0,-204.15,-17148.62,-0.2,8.82,0.1,5,0.0,0,0.0,5.1,85738.68
35,RE_ENTRY,SL_HIT_SUPERTREND,2025-12-17 08:00:00,2025-12-17 08:00:00,short,86374.5,87018.5,1,0,86.37,100.0,-0.64,-5.74,-482.5,-0.01,0.0,0.0,644.0,0.75,-209.89,-17631.12,-0.21,8.64,0.1,5,0.0,0,0.0,5.1,85738.68
36,RE_ENTRY,SL_HIT_SUPERTREND,2026-01-20 22:00:00,2026-01-20 22:00:00,short,88477.0,89627.0,1,0,88.48,100.0,-1.15,-6.25,-525.0,-0.01,0.0,0.0,1150.0,1.3,-216.14,-18156.12,-0.22,8.85,0.1,5,0.0,0,0.0,5.1,85738.68
37,RE_ENTRY,SL_HIT_SUPERTREND,2026-01-21 16:00:00,2026-01-21 16:00:00,short,87570.5,90333.5,1,0,87.57,100.0,-2.76,-7.86,-660.49,-0.01,0.0,0.0,2763.0,3.16,-224.01,-18816.61,-0.22,8.76,0.1,5,0.0,0,0.0,5.1,85738.68
