trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
81,RE_ENTRY,DOUBLE_TOP,2026-03-12 14:00:00,2026-03-13 13:00:00,short,69250.0,71636.5,100,0.1,6925.0,100.0,-238.65,-243.78,-20477.42,-0.24,0.0,0.0,2386.5,3.45,-5355.69,-449878.06,-5.36,692.5,0.1,5,0.03,0,0.0,5.13,70752.0
82,RE_ENTRY,DOUBLE_TOP,2026-03-14 09:00:00,2026-03-15 17:00:00,short,70607.0,71808.0,100,0.1,7060.7,100.0,-120.1,-125.24,-10520.16,-0.13,0.0,0.0,1201.0,1.7,-5480.93,-460398.22,-5.48,706.07,0.1,5,0.04,0,0.0,5.14,73357.0
83,RE_ENTRY,DOUBLE_TOP,2026-03-19 08:00:00,2026-03-20 08:00:00,short,71167.0,70452.0,100,0.1,7116.7,100.0,71.5,66.37,5575.08,0.07,715.0,1.0,0.0,0.0,-5414.56,-454823.14,-5.41,711.67,0.1,5,0.03,0,0.0,5.13,74421.5
84,RE_ENTRY,DOUBLE_TOP,2026-03-21 23:00:00,2026-03-23 13:00:00,short,69712.0,68871.5,100,0.1,6971.2,100.0,84.05,78.9,6627.81,0.08,840.5,1.21,0.0,0.0,-5335.66,-448195.33,-5.34,697.12,0.1,5,0.05,0,0.0,5.15,71007.0
85,RE_ENTRY,DOUBLE_TOP,2026-03-26 17:00:00,2026-03-28 15:00:00,short,69246.5,66527.5,100,0.1,6924.65,100.0,271.9,266.74,22406.37,0.27,2719.0,3.93,0.0,0.0,-5068.92,-425788.96,-5.07,692.47,0.1,5,0.06,0,0.0,5.16,71337.0
86,RE_ENTRY,DOUBLE_TOP,2026-03-29 22:00:00,2026-03-30 12:00:00,short,66364.0,67585.5,100,0.1,6636.4,100.0,-122.15,-127.27,-10690.47,-0.13,0.0,0.0,1221.5,1.84,-5196.18,-436479.43,-5.2,663.64,0.1,5,0.02,0,0.0,5.12,66787.0
87,RE_ENTRY,DOUBLE_TOP,2026-03-31 14:00:00,2026-04-01 06:00:00,short,66105.5,68230.0,100,0.1,6610.55,100.0,-212.45,-217.57,-18275.88,-0.22,0.0,0.0,2124.5,3.21,-5413.75,-454755.31,-5.41,661.06,0.1,5,0.02,0,0.0,5.12,67902.5
88,RE_ENTRY,DOUBLE_TOP,2026-04-02 12:00:00,2026-04-02 22:00:00,short,66306.5,67060.0,100,0.1,6630.65,100.0,-75.35,-80.46,-6758.85,-0.08,0.0,0.0,753.5,1.14,-5494.22,-461514.16,-5.49,663.07,0.1,5,0.01,0,0.0,5.11,68571.5
89,RE_ENTRY,DOUBLE_TOP,2026-04-07 14:00:00,2026-04-08 12:00:00,short,68370.0,71897.0,100,0.1,6837.0,100.0,-352.7,-357.83,-30057.51,-0.36,0.0,0.0,3527.0,5.16,-5852.04,-491571.67,-5.85,683.7,0.1,5,0.03,0,0.0,5.13,69928.5
90,RE_ENTRY,DOUBLE_TOP,2026-04-08 18:00:00,2026-04-09 20:00:00,short,70895.5,72314.5,100,0.1,7089.55,100.0,-141.9,-147.03,-12350.73,-0.15,0.0,0.0,1419.0,2.0,-5999.08,-503922.4,-6.0,708.96,0.1,5,0.03,0,0.0,5.13,72031.5
91,RE_ENTRY,DOUBLE_TOP,2026-04-12 23:00:00,2026-04-13 22:00:00,short,70722.0,72355.0,100,0.1,7072.2,100.0,-163.3,-168.43,-14148.02,-0.17,0.0,0.0,1633.0,2.31,-6167.5,-518070.42,-6.17,707.22,0.1,5,0.03,0,0.0,5.13,73643.5
92,RE_ENTRY,DOUBLE_TOP,2026-04-15 07:00:00,2026-04-16 15:00:00,short,74056.5,74944.0,100,0.1,7405.65,100.0,-88.75,-93.89,-7886.76,-0.09,0.0,0.0,887.5,1.2,-6261.39,-525957.18,-6.26,740.57,0.1,5,0.04,0,0.0,5.14,75479.0
93,RE_ENTRY,DOUBLE_TOP,2026-04-19 23:00:00,2026-04-21 10:00:00,short,74975.0,76379.0,100,0.1,7497.5,100.0,-140.4,-145.54,-12225.68,-0.15,0.0,0.0,1404.0,1.87,-6406.94,-538182.85,-6.41,749.75,0.1,5,0.04,0,0.0,5.14,77835.0
94,RE_ENTRY,DOUBLE_TOP,2026-04-23 03:00:00,2026-04-23 06:00:00,short,74988.0,79234.0,100,0.1,7498.8,100.0,-424.6,-429.7,-36095.11,-0.43,0.0,0.0,4246.0,5.66,-6836.64,-574277.97,-6.84,749.88,0.1,5,0.0,0,0.0,5.1,76702.0
95,RE_ENTRY,DOUBLE_TOP,2026-04-23 17:00:00,2026-04-24 00:00:00,short,77362.5,78329.0,100,0.1,7736.25,100.0,-96.65,-101.76,-8547.74,-0.1,0.0,0.0,966.5,1.25,-6938.4,-582825.7,-6.94,773.62,0.1,5,0.01,0,0.0,5.11,78167.0
96,RE_ENTRY,DOUBLE_TOP,2026-04-24 22:00:00,2026-04-27 23:00:00,short,77497.5,79257.0,100,0.1,7749.75,100.0,-175.95,-181.14,-15215.87,-0.18,0.0,0.0,1759.5,2.27,-7119.54,-598041.57,-7.12,774.98,0.1,5,0.09,0,0.0,5.19,78377.0
97,RE_ENTRY,DOUBLE_TOP,2026-04-28 14:00:00,2026-04-29 17:00:00,short,76587.5,77605.0,100,0.1,7658.75,100.0,-101.75,-106.88,-8978.24,-0.11,0.0,0.0,1017.5,1.33,-7226.43,-607019.8,-7.23,765.88,0.1,5,0.03,0,0.0,5.13,79257.0
98,RE_ENTRY,DOUBLE_TOP,2026-04-29 18:00:00,2026-05-02 21:00:00,short,75775.0,78691.0,100,0.1,7577.5,100.0,-291.6,-296.79,-24930.68,-0.3,0.0,0.0,2916.0,3.85,-7523.22,-631950.48,-7.52,757.75,0.1,5,0.09,0,0.0,5.19,77605.0
99,RE_ENTRY,DOUBLE_TOP,2026-05-08 13:00:00,2026-05-10 23:00:00,short,79450.0,81381.5,100,0.1,7945.0,100.0,-193.15,-198.32,-16659.09,-0.2,0.0,0.0,1931.5,2.43,-7721.54,-648609.57,-7.72,794.5,0.1,5,0.07,0,0.0,5.17,81395.5
100,RE_ENTRY,DOUBLE_TOP,2026-05-13 15:00:00,2026-05-14 16:00:00,short,79967.5,79772.0,100,0.1,7996.75,100.0,19.55,14.42,1211.18,0.01,195.5,0.24,0.0,0.0,-7707.12,-647398.39,-7.71,799.67,0.1,5,0.03,0,0.0,5.13,81897.0
101,RE_ENTRY,DOUBLE_TOP,2026-05-15 13:00:00,2026-05-20 12:00:00,short,80321.5,77200.5,100,0.1,8032.15,100.0,312.1,306.85,25775.51,0.31,3121.0,3.89,0.0,0.0,-7400.27,-621622.89,-7.4,803.22,0.1,5,0.15,0,0.0,5.25,81470.0
102,RE_ENTRY,DOUBLE_TOP,2026-05-21 18:00:00,2026-05-26 10:00:00,short,76944.0,77695.0,100,0.1,7694.4,100.0,-75.1,-80.34,-6748.56,-0.08,0.0,0.0,751.0,0.98,-7480.61,-628371.45,-7.48,769.44,0.1,5,0.14,0,0.0,5.24,77930.5
103,RE_ENTRY,DOUBLE_TOP,2026-05-27 17:00:00,2026-05-29 05:00:00,short,75543.0,73804.0,100,0.1,7554.3,100.0,173.9,168.75,14175.42,0.17,1739.0,2.3,0.0,0.0,-7311.86,-614196.03,-7.31,755.43,0.1,5,0.04,0,0.0,5.14,77399.0
104,RE_ENTRY,DOUBLE_TOP,2026-06-01 15:00:00,2026-06-03 10:00:00,short,73264.5,67297.5,100,0.1,7326.45,100.0,596.7,591.55,49689.89,0.59,5967.0,8.14,0.0,0.0,-6720.31,-564506.14,-6.72,732.65,0.1,5,0.05,0,0.0,5.15,73923.0
105,RE_ENTRY,DOUBLE_TOP,2026-06-04 01:00:00,2026-06-06 08:00:00,short,64979.5,61600.0,100,0.1,6497.95,100.0,337.95,332.78,27953.63,0.33,3379.5,5.2,0.0,0.0,-6387.53,-536552.52,-6.39,649.8,0.1,5,0.07,0,0.0,5.17,67267.0
