Date,Time,Open,High,Low,Close,Volume
2026-07-03,02:00:00,61577.0,61653.5,61277.0,61414.5,750037.0
2026-07-03,04:00:00,61414.5,61791.0,61324.0,61681.5,795537.0
2026-07-03,06:00:00,61681.5,61856.5,61588.0,61739.5,775611.0
2026-07-03,08:00:00,61739.5,61882.0,61487.5,61693.5,1111716.0
2026-07-03,10:00:00,61693.5,62085.0,61646.0,61999.5,1429456.0
2026-07-03,12:00:00,62009.0,62258.0,61847.5,62090.5,1604338.0
2026-07-03,14:00:00,62090.5,62390.5,61666.5,61902.0,3269163.0
2026-07-03,16:00:00,61902.0,62274.5,61883.5,62177.5,1439812.0
2026-07-03,18:00:00,62177.5,62299.0,62092.5,62185.0,788981.0
2026-07-03,20:00:00,62192.5,62952.5,62160.0,62713.5,1688931.0
2026-07-03,22:00:00,62722.5,62732.5,62512.5,62571.0,366356.0
2026-07-04,00:00:00,62571.0,62934.5,62387.0,62456.0,685734.0
2026-07-04,02:00:00,62457.0,62739.5,62410.0,62615.5,662564.0
2026-07-04,04:00:00,62615.5,62740.0,62410.0,62452.5,820040.0
2026-07-04,06:00:00,62452.5,62620.0,62314.0,62556.0,1036738.0
2026-07-04,08:00:00,62555.0,62662.0,62390.5,62472.0,731182.0
2026-07-04,10:00:00,62472.0,62549.0,62424.0,62464.5,465338.0
2026-07-04,12:00:00,62464.5,62762.0,62464.5,62569.5,1023942.0
2026-07-04,14:00:00,62569.0,63045.0,62568.0,62915.5,1538636.0
2026-07-04,16:00:00,62914.5,63410.0,62760.5,63251.5,1972215.0
2026-07-04,18:00:00,63252.5,63450.0,63073.5,63275.0,1292515.0
2026-07-04,20:00:00,63273.5,63436.5,63134.0,63283.5,461787.0
2026-07-04,22:00:00,63276.5,63293.0,62908.0,63121.5,325086.0
2026-07-05,00:00:00,63120.5,63121.5,62770.5,62865.5,475834.0
2026-07-05,02:00:00,62866.5,62909.5,62573.0,62745.0,815333.0
2026-07-05,04:00:00,62746.0,62935.0,62634.0,62722.0,909733.0
2026-07-05,06:00:00,62722.0,63046.0,62650.0,63001.0,892031.0
2026-07-05,08:00:00,63001.0,63090.5,62417.0,62606.0,1423991.0
2026-07-05,10:00:00,62607.0,62806.0,62515.5,62634.0,855820.0
2026-07-05,12:00:00,62635.0,62804.5,62542.0,62776.5,746850.0
2026-07-05,14:00:00,62776.5,62926.5,62627.5,62717.5,1019792.0
2026-07-05,16:00:00,62717.5,62803.0,62575.0,62608.0,821106.0
2026-07-05,18:00:00,62608.0,62866.0,62595.0,62754.0,519234.0
2026-07-05,20:00:00,62751.0,63208.0,62586.0,63077.0,632988.0
2026-07-05,22:00:00,63076.0,63991.5,62983.5,63624.0,1196799.0
2026-07-06,00:00:00,63623.0,63906.5,63317.5,63551.0,900670.0
2026-07-06,02:00:00,63551.0,63651.0,63107.0,63279.5,1085299.0
2026-07-06,04:00:00,63279.5,63374.5,62920.0,63093.0,1027404.0
2026-07-06,06:00:00,63093.0,63132.0,62865.5,63071.5,757444.0
2026-07-06,08:00:00,63071.5,63233.0,62616.0,62653.5,1240568.0
2026-07-06,10:00:00,62652.5,63020.5,62471.0,62475.5,1538908.0
2026-07-06,12:00:00,62475.5,62476.5,61303.5,61757.5,4419044.0
2026-07-06,14:00:00,61757.5,63534.0,61699.5,63530.0,4355453.0
2026-07-06,16:00:00,63530.0,63959.0,63363.5,63570.5,2864143.0
2026-07-06,18:00:00,63575.5,63880.0,63537.0,63725.0,919269.0
2026-07-06,20:00:00,63716.5,64697.5,63567.0,64482.5,1092924.0
2026-07-06,22:00:00,64481.5,64495.5,64008.0,64030.5,330461.0
2026-07-07,00:00:00,64034.5,64305.0,63760.0,63821.5,670259.0
2026-07-07,02:00:00,63821.5,63891.0,63127.5,63171.5,1116227.0
2026-07-07,04:00:00,63171.5,63271.0,62764.5,63100.5,1172166.0
2026-07-07,06:00:00,63098.5,63431.0,62960.0,63068.5,1269754.0
2026-07-07,08:00:00,63068.5,63325.5,62964.0,63233.5,859001.0
2026-07-07,10:00:00,63233.5,63440.5,63088.5,63384.5,1156343.0
2026-07-07,12:00:00,63384.5,63864.0,62965.5,63039.0,3017587.0
2026-07-07,14:00:00,63043.0,64090.0,62650.0,63915.5,4083412.0
2026-07-07,16:00:00,63915.5,64238.0,63789.5,64171.5,1795169.0
2026-07-07,18:00:00,64170.5,64174.0,63357.0,63801.5,1730274.0
2026-07-07,20:00:00,63796.0,63882.0,63300.0,63406.5,595968.0
2026-07-07,22:00:00,63399.0,63686.0,63186.5,63333.0,309656.0
2026-07-08,00:00:00,63342.0,63746.5,62887.5,63009.5,742344.0
2026-07-08,02:00:00,63004.5,63075.0,62502.0,62746.5,1230625.0
2026-07-08,04:00:00,62746.5,62880.0,62526.0,62620.5,780607.0
2026-07-08,06:00:00,62620.5,62874.5,62448.0,62861.0,1076517.0
2026-07-08,08:00:00,62861.0,62923.5,61716.5,62037.5,2347271.0
2026-07-08,10:00:00,62039.5,62372.5,61882.0,62276.5,1144996.0
2026-07-08,12:00:00,62275.5,62400.0,61621.0,61929.5,2166779.0
2026-07-08,14:00:00,61928.5,62159.5,61527.0,61680.5,2595405.0
2026-07-08,16:00:00,61689.0,62379.5,61672.0,62093.0,2178499.0
2026-07-08,18:00:00,62090.0,62337.5,62020.5,62257.5,1036500.0
2026-07-08,20:00:00,62265.5,62294.0,61930.5,62169.0,430674.0
2026-07-08,22:00:00,62170.0,62336.0,62145.0,62263.0,185629.0
2026-07-09,00:00:00,62261.0,62624.5,61811.5,61888.0,896743.0
2026-07-09,02:00:00,61888.0,62105.5,61672.5,61950.0,852729.0
2026-07-09,04:00:00,61949.0,62606.5,61936.0,62572.5,1205992.0
2026-07-09,06:00:00,62571.5,63255.0,62458.0,62980.5,1905862.0
2026-07-09,08:00:00,62979.5,63077.0,62766.0,62931.5,985576.0
2026-07-09,10:00:00,62931.0,63037.0,62588.5,62762.5,1067144.0
2026-07-09,12:00:00,62762.5,63206.0,62434.5,63005.5,2232083.0
2026-07-09,14:00:00,63005.5,63238.0,62638.0,62842.0,2000621.0
2026-07-09,16:00:00,62841.0,63147.0,62535.0,63121.5,1615815.0
2026-07-09,18:00:00,63121.5,63487.0,63047.5,63222.5,1354807.0
2026-07-09,20:00:00,63241.5,63378.5,63153.5,63255.5,278295.0
2026-07-09,22:00:00,63255.0,63402.5,63038.0,63206.0,255934.0
2026-07-10,00:00:00,63206.5,63939.5,62903.0,63733.5,877593.0
2026-07-10,02:00:00,63742.5,64028.5,63668.5,63923.0,773821.0
2026-07-10,04:00:00,63925.5,64187.5,63833.0,64095.5,831690.0
2026-07-10,06:00:00,64096.5,64145.5,63777.5,63963.0,800016.0
2026-07-10,08:00:00,63975.0,64466.5,63955.0,64367.0,1353577.0
2026-07-10,10:00:00,64367.0,64483.0,64249.5,64370.5,644014.0
2026-07-10,12:00:00,64412.5,64471.0,64303.0,64438.5,93803.0
2026-07-10,14:00:00,64458.5,64498.5,64341.5,64345.5,102685.0
