trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,slippage_applied,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
423,BUY_A,ST_FLIP_RED,2026-02-15T12:00:00,2026-02-15T18:00:00,long,70357.5,70141.5,100,0.1,7035.75,100.0,-21.6,-31.71,-2663.64,-0.03,0,0.0,216,0.31,25509.87,2142829.08,25.51,703.58,0.1,10,5.0,0.01,0,0.0,10.11,70141.5
424,SELL_B,ST_FLIP_GREEN,2026-02-16T04:00:00,2026-02-16T08:00:00,short,68737.5,68737.5,100,0.1,6873.75,100.0,0.0,-10.11,-849.24,-0.01,0,0.0,0,0.0,25499.76,2141979.84,25.5,687.38,0.1,10,5.0,0.01,0,0.0,10.11,68953.5
425,SELL_A,ST_FLIP_GREEN,2026-02-16T10:00:00,2026-02-16T12:00:00,short,68305.5,68629.5,100,0.1,6830.55,100.0,-32.4,-42.51,-3570.84,-0.04,0,0.0,324,0.47,25457.25,2138409.0,25.46,683.06,0.1,10,5.0,0.01,0,0.0,10.11,68521.5
426,SELL_A,ST_FLIP_GREEN,2026-02-16T18:00:00,2026-02-16T22:00:00,short,68629.5,68089.5,100,0.1,6862.95,100.0,54.0,43.89,3686.76,0.04,540,0.79,0,0.0,25501.14,2142095.76,25.5,686.3,0.1,10,5.0,0.01,0,0.0,10.11,68845.5
427,BUY_A,ST_FLIP_RED,2026-02-17T02:00:00,2026-02-17T08:00:00,long,68413.5,68629.5,100,0.1,6841.35,100.0,21.6,11.49,965.16,0.01,216,0.32,0,0.0,25512.63,2143060.92,25.51,684.13,0.1,10,5.0,0.01,0,0.0,10.11,68197.5
428,SELL_A,ST_FLIP_GREEN,2026-02-17T14:00:00,2026-02-18T08:00:00,short,68197.5,67549.5,100,0.1,6819.75,100.0,64.8,54.69,4593.96,0.05,648,0.95,0,0.0,25567.32,2147654.88,25.57,681.98,0.1,10,5.0,0.01,0,0.0,10.11,68413.5
429,BUY_A,ST_FLIP_RED,2026-02-18T12:00:00,2026-02-18T16:00:00,long,67873.5,67873.5,100,0.1,6787.35,100.0,0.0,-10.11,-849.24,-0.01,0,0.0,0,0.0,25557.21,2146805.64,25.56,678.74,0.1,10,5.0,0.01,0,0.0,10.11,67657.5
430,BUY_A,ST_FLIP_RED,2026-02-19T06:00:00,2026-02-19T12:00:00,long,66901.5,66793.5,100,0.1,6690.15,100.0,-10.8,-20.91,-1756.44,-0.02,0,0.0,108,0.16,25536.3,2145049.2,25.54,669.02,0.1,10,5.0,0.01,0,0.0,10.11,66685.5
431,SELL_A,ST_FLIP_GREEN,2026-02-19T18:00:00,2026-02-19T22:00:00,short,66253.5,66361.5,100,0.1,6625.35,100.0,-10.8,-20.91,-1756.44,-0.02,0,0.0,108,0.16,25515.39,2143292.76,25.52,662.54,0.1,10,5.0,0.01,0,0.0,10.11,66469.5
432,SELL_A,ST_FLIP_GREEN,2026-02-20T16:00:00,2026-02-20T20:00:00,short,67549.5,67333.5,100,0.1,6754.95,100.0,21.6,11.49,965.16,0.01,216,0.32,0,0.0,25526.88,2144257.92,25.53,675.5,0.1,10,5.0,0.01,0,0.0,10.11,67765.5
433,BUY_A,ST_FLIP_RED,2026-02-21T02:00:00,2026-02-21T08:00:00,long,67873.5,67657.5,100,0.1,6787.35,100.0,-21.6,-31.71,-2663.64,-0.03,0,0.0,216,0.32,25495.17,2141594.28,25.5,678.74,0.1,10,5.0,0.01,0,0.0,10.11,67657.5
434,BUY_B,ST_FLIP_RED,2026-02-21T12:00:00,2026-02-22T04:00:00,long,67981.5,68089.5,100,0.1,6798.15,100.0,10.8,0.69,57.96,0.0,108,0.16,0,0.0,25495.86,2141652.24,25.5,679.82,0.1,10,5.0,0.01,0,0.0,10.11,67765.5
435,SELL_B,ST_FLIP_GREEN,2026-02-22T18:00:00,2026-02-23T02:00:00,short,67765.5,67657.5,100,0.1,6776.55,100.0,10.8,0.69,57.96,0.0,108,0.16,0,0.0,25496.55,2141710.2,25.5,677.65,0.1,10,5.0,0.01,0,0.0,10.11,67981.5
