2026-09-24 16:13:35,032 INFO [WAIT] now=2026-09-24T16:13:34 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:35,590 INFO [WAIT] now=2026-09-24T16:13:35 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:36,153 INFO [WAIT] now=2026-09-24T16:13:36 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:36,711 INFO [WAIT] now=2026-09-24T16:13:36 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:37,271 INFO [WAIT] now=2026-09-24T16:13:37 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:37,831 INFO [WAIT] now=2026-09-24T16:13:37 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:38,392 INFO [WAIT] now=2026-09-24T16:13:38 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:38,938 INFO [WAIT] now=2026-09-24T16:13:38 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:39,480 INFO [WAIT] now=2026-09-24T16:13:39 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:40,021 INFO [WAIT] now=2026-09-24T16:13:39 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:40,564 INFO [WAIT] now=2026-09-24T16:13:40 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:41,104 INFO [WAIT] now=2026-09-24T16:13:41 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:41,648 INFO [WAIT] now=2026-09-24T16:13:41 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:42,194 INFO [WAIT] now=2026-09-24T16:13:42 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:42,739 INFO [WAIT] now=2026-09-24T16:13:42 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:43,301 INFO [WAIT] now=2026-09-24T16:13:43 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:43,864 INFO [WAIT] now=2026-09-24T16:13:43 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:44,405 INFO [WAIT] now=2026-09-24T16:13:44 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:44,946 INFO [WAIT] now=2026-09-24T16:13:44 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:45,486 INFO [WAIT] now=2026-09-24T16:13:45 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:46,060 INFO [WAIT] now=2026-09-24T16:13:45 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:46,602 INFO [WAIT] now=2026-09-24T16:13:46 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:47,169 INFO [WAIT] now=2026-09-24T16:13:47 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:47,734 INFO [WAIT] now=2026-09-24T16:13:47 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:48,277 INFO [WAIT] now=2026-09-24T16:13:48 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:48,819 INFO [WAIT] now=2026-09-24T16:13:48 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:49,360 INFO [WAIT] now=2026-09-24T16:13:49 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:49,902 INFO [WAIT] now=2026-09-24T16:13:49 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:50,462 INFO [WAIT] now=2026-09-24T16:13:50 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:51,024 INFO [WAIT] now=2026-09-24T16:13:50 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:51,567 INFO [WAIT] now=2026-09-24T16:13:51 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:52,113 INFO [WAIT] now=2026-09-24T16:13:52 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:52,671 INFO [WAIT] now=2026-09-24T16:13:52 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:53,232 INFO [WAIT] now=2026-09-24T16:13:53 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:53,775 INFO [WAIT] now=2026-09-24T16:13:53 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:54,317 INFO [WAIT] now=2026-09-24T16:13:54 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:54,861 INFO [WAIT] now=2026-09-24T16:13:54 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:55,404 INFO [WAIT] now=2026-09-24T16:13:55 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:55,946 INFO [WAIT] now=2026-09-24T16:13:55 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:56,489 INFO [WAIT] now=2026-09-24T16:13:56 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:57,032 INFO [WAIT] now=2026-09-24T16:13:56 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:57,574 INFO [WAIT] now=2026-09-24T16:13:57 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:58,115 INFO [WAIT] now=2026-09-24T16:13:58 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:58,656 INFO [WAIT] now=2026-09-24T16:13:58 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:59,199 INFO [WAIT] now=2026-09-24T16:13:59 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:13:59,740 INFO [WAIT] now=2026-09-24T16:13:59 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:14:00,476 INFO [WAIT] now=2026-09-24T16:14:00 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:14:01,208 INFO [WAIT] now=2026-09-24T16:14:00 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:14:02,169 INFO [WAIT] now=2026-09-24T16:14:01 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:14:02,710 INFO [WAIT] now=2026-09-24T16:14:02 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:14:03,252 INFO [WAIT] now=2026-09-24T16:14:03 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:14:03,811 INFO [WAIT] now=2026-09-24T16:14:03 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:14:04,373 INFO [WAIT] now=2026-09-24T16:14:04 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:14:04,914 INFO [WAIT] now=2026-09-24T16:14:04 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:14:05,461 INFO [WAIT] now=2026-09-24T16:14:05 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:14:06,004 INFO [WAIT] now=2026-09-24T16:14:05 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:14:06,547 INFO [WAIT] now=2026-09-24T16:14:06 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:14:07,088 INFO [WAIT] now=2026-09-24T16:14:07 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:14:07,630 INFO [WAIT] now=2026-09-24T16:14:07 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:14:08,169 INFO [WAIT] now=2026-09-24T16:14:08 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:14:08,733 INFO [WAIT] now=2026-09-24T16:14:08 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:14:09,288 INFO [WAIT] now=2026-09-24T16:14:09 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:14:09,843 INFO [WAIT] now=2026-09-24T16:14:09 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:14:10,399 INFO [WAIT] now=2026-09-24T16:14:10 | position=long | last_known_ts=2026-09-24T15:00:00
2026-09-24 16:14:10,961 INFO [WAIT] now=2026-09-24T16:14:10 | position=long | last_known_ts=2026-09-24T15:00:00
