label,sig_ts,detected_at,lag_sec,exceeds_floor,gate_lockout_signature,direction,price_then,price_now,est_damage_usd
S4V2,2026-09-16T12:00:00+00:00,1789561800.974106,1801.0,True,False,long,76039.5,75918.0,12.15
S4V2,2026-09-16T12:00:00+00:00,1789561800.974106,1801.0,True,False,short,76039.5,75918.0,12.15
S4,2026-09-16T12:00:00+00:00,1789567201.534111,7201.5,True,False,long,76072.0,75622.5,44.95
S4,2026-09-16T12:00:00+00:00,1789567201.534111,7201.5,True,False,short,76072.0,75622.5,44.95
S4V2,2026-09-16T14:00:00+00:00,1789569001.516266,1801.5,True,False,short,75775.5,75809.0,3.35
S4V2,2026-09-16T14:00:00+00:00,1789569001.516266,1801.5,True,False,long,75821.5,75809.0,1.25
S4V2,2026-09-16T14:30:00+00:00,1789570800.442723,1800.4,True,False,long,75677.5,75668.5,0.9
S4V2,2026-09-16T14:30:00+00:00,1789570800.442723,1800.4,True,False,short,75677.5,75668.5,0.9
S4V2,2026-09-16T15:30:00+00:00,1789574401.184512,1801.2,True,False,short,75764.0,75761.5,0.25
S4V2,2026-09-16T15:30:00+00:00,1789574401.184512,1801.2,True,False,long,75764.0,75761.5,0.25
S4,2026-09-16T14:00:00+00:00,1789574404.149638,7204.1,True,False,short,75751.0,75761.5,1.05
S4,2026-09-16T14:00:00+00:00,1789574404.149638,7204.1,True,False,long,75751.0,75761.5,1.05
S4V3,2026-09-16T12:00:00+00:00,1789574409.849895,14409.8,True,False,short,76091.5,75761.5,33.0
S4V2,2026-09-16T17:00:00+00:00,1789583400.686643,5400.7,True,True,long,75654.0,75989.5,33.55
S4V2,2026-09-16T17:00:00+00:00,1789583400.686643,5400.7,True,True,short,75654.0,75989.5,33.55
S4V2,2026-09-16T18:00:00+00:00,1789583400.686643,1800.7,True,False,long,75792.0,75989.5,19.75
S4V2,2026-09-16T18:30:00+00:00,1789585201.01568,1801.0,True,False,long,75811.0,75608.5,20.25
S4V2,2026-09-16T18:30:00+00:00,1789585201.01568,1801.0,True,False,short,75765.0,75608.5,15.65
S4V2,2026-09-16T19:30:00+00:00,1789588800.982575,1801.0,True,False,short,75693.5,76065.5,37.2
S4V2,2026-09-16T19:30:00+00:00,1789588800.982575,1801.0,True,False,long,75739.5,76065.5,32.6
S4V3,2026-09-16T16:00:00+00:00,1789588803.558309,14403.6,True,False,short,75814.5,76065.5,25.1
S4V2,2026-09-16T21:00:00+00:00,1789594201.444332,1801.4,True,False,long,76014.5,76046.5,3.2
S4V2,2026-09-16T21:30:00+00:00,1789596001.237386,1801.2,True,False,short,75970.5,75945.5,2.5
S4,2026-09-16T20:00:00+00:00,1789596002.80313,7202.8,True,False,long,75914.0,75945.5,3.15
S4,2026-09-16T20:00:00+00:00,1789596002.80313,7202.8,True,False,short,75914.0,75945.5,3.15
S4V2,2026-09-16T23:00:00+00:00,1789601400.950416,1801.0,True,False,short,75830.5,76052.0,22.15
S4V2,2026-09-16T23:00:00+00:00,1789601400.950416,1801.0,True,False,long,75876.5,76052.0,17.55
S4V2,2026-09-17T01:30:00+00:00,1789610400.900399,1800.9,True,False,long,76439.5,76342.0,9.75
